City,Hotel_Name,Hotel_URL,Score,Description,Latitude,Longitude
Mont Saint Michel,Le Relais Saint Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCiZmmuwbAAgHSAiQzZDY3YjQ4ZC0yZTc1LTRiNjgtOThlMy0yZjg4MGNkMjhiMGHYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c47b7244a71300b5&srepoch=1734970506&from=searchresults,8.0,Le Relais Saint Michel is an hotel facing the bay of Mont Saint-Michel. ,48.6175872716489,-1.51039615273476
St Malo,Hôtel Anne de Bretagne - Réouverture 2024 après travaux,https://www.booking.com/hotel/fr/anne-de-bretagne.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKTmaa7BsACAdICJDZkOTE5Y2RjLTQyNzctNGJiOC1iODExLWI5NWY1MzZlYzlhYtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a803724985fc014a&srepoch=1734970516&from=searchresults,9.0,"Hôtel Anne de Bretagne - Réouverture 2024 après travaux is located in the old walled city of Saint Malo, 270 metres from Saint-Malo Marina, close to the ferry terminal and the exhibition centre. ",48.6506405397079,-2.024753987789154
Mont Saint Michel,Hôtel Vert,https://www.booking.com/hotel/fr/vert.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCiZmmuwbAAgHSAiQzZDY3YjQ4ZC0yZTc1LTRiNjgtOThlMy0yZjg4MGNkMjhiMGHYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c47b7244a71300b5&srepoch=1734970506&from=searchresults,8.0,"Hotel Vert offers pastel-coloured rooms with a private bathroom, TV and free Wi-Fi access. It is located 2 km from the Mont Saint-Michel tidal island on the Normandy Coast. ",48.61470048629041,-1.5096169710159302
St Malo,"Le Plongeoir, intra-muros",https://www.booking.com/hotel/fr/le-pongeoir-intra-muros.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKTmaa7BsACAdICJDZkOTE5Y2RjLTQyNzctNGJiOC1iODExLWI5NWY1MzZlYzlhYtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=a803724985fc014a&srepoch=1734970516&from=searchresults,9.1,Managed by a private host,48.6487255,-2.0275728
Bayeux,B&B Nathalie,https://www.booking.com/hotel/fr/imagine-bayeux.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4ApuZprsGwAIB0gIkM2FiOTdlZDgtNGFjZC00Nzk3LWI4MDYtN2RkNjMwNTM0NzI12AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2906724df6080038&srepoch=1734970524&from=searchresults,9.5,Managed by a private host,49.276465,-0.706367
Le Havre,F2 hypercentre - Proche gare - WIFI gratuite,https://www.booking.com/hotel/fr/f2-hypercentre-proche-gare-wifi-gratuite.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9sZSBoYXZyZUgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCm5mmuwbAAgHSAiRlZGIyN2YzOS1kOTdmLTRjOTItYjQwMy0yZjQ2ODJhOGZiYzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e30a724d139e030b&srepoch=1734970524&from=searchresults,8.8,Managed by a private host,49.4943145,0.124113
Rouen,"Hôtel Littéraire Gustave Flaubert, BW Signature Collection",https://www.booking.com/hotel/fr/hotellitterairegustaveflaubert.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCqpmmuwbAAgHSAiQ2ZjY2MTI0Ni0yMTJkLTQ0ZWItOTUzOC02OTBmMWZiM2M5MzHYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=3fbf72555925046a&srepoch=1734970539&from_sustainable_property_sr=1&from=searchresults,8.6,"Situated in the historic centre of Rouen, Hôtel Littéraire Gustave Flaubert, BW Signature Collection, offers accommodation with a literary theme in honour of the writer Gustave Flaubert. ",49.44263508189676,1.0868579149246216
Mont Saint Michel,Le Relais Du Roy,https://www.booking.com/hotel/fr/le-relais-du-roy.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCiZmmuwbAAgHSAiQzZDY3YjQ4ZC0yZTc1LTRiNjgtOThlMy0yZjg4MGNkMjhiMGHYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c47b7244a71300b5&srepoch=1734970506&from=searchresults,8.2,"Le Relais Du Roy is a 3-star hotel situated next to the River Couesnon, just 1.5 km from the Mont Saint-Michel and 50 metres from the free shuttle bus. ",48.61626270451236,-1.510905772447586
St Malo,APPARTEMENT NEUF ET BIEN SITUE AVEC UN CLASSEMENT,https://www.booking.com/hotel/fr/appartement-neuf-et-bien-situe-avec-un-classement-saint-malo.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKTmaa7BsACAdICJDZkOTE5Y2RjLTQyNzctNGJiOC1iODExLWI5NWY1MzZlYzlhYtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=a803724985fc014a&srepoch=1734970516&from=searchresults,9.6,"Located in Saint Malo, near Sillon Beach, Eventail Beach and Bas-Sablons Beach, APPARTEMENT NEUF ET BIEN SITUE AVEC UN CLASSEMENT has a terrace. ",48.64591,-2.009882
Bayeux,Le Petit Matin,https://www.booking.com/hotel/fr/le-petit-matin.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4ApuZprsGwAIB0gIkM2FiOTdlZDgtNGFjZC00Nzk3LWI4MDYtN2RkNjMwNTM0NzI12AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2906724df6080038&srepoch=1734970524&from=searchresults,9.5,"This guest house is set in a building from the 18th century in Bayeux’s historical district. Le Petit Matin offers a garden, a furnished terrace. ",49.27606133430732,-0.7090553641319275
