City,Latitude,Longitude,Temperature_Jour_1,Humidite_Jour_1,Vitesse_Vent_Jour_1,Precipitation_Jour_1,Temperature_Jour_2,Humidite_Jour_2,Vitesse_Vent_Jour_2,Precipitation_Jour_2,Temperature_Jour_3,Humidite_Jour_3,Vitesse_Vent_Jour_3,Precipitation_Jour_3,Temperature_Jour_4,Humidite_Jour_4,Vitesse_Vent_Jour_4,Precipitation_Jour_4,Temperature_Jour_5,Humidite_Jour_5,Vitesse_Vent_Jour_5,Precipitation_Jour_5
Mont Saint Michel,48.6359541,-1.511459954959514,11.87,91,1.92,0,13.81,80,1.53,0,12.52,80,3.35,0,9.7,70,2.23,0,9.3,83,2.14,0
St Malo,48.649518,-2.0260409,12.11,93,2.48,0.1,12.68,87,2.07,0,11.7,85,3.97,0,9.53,71,3.2,0,8.99,85,3.1,0
Bayeux,49.2764624,-0.7024738,11.83,88,1.78,0,12.97,78,0.89,0,10.27,87,3.11,0,8.31,80,3.08,0,8.12,88,2.53,0
Le Havre,49.4938975,0.1079732,11.27,93,2.71,0,11.42,87,0.21,0,11.21,84,2.43,0,10.03,79,2.08,0,8.91,80,1.7,0
Rouen,49.4404591,1.0939658,11.26,96,1.44,0,12.17,82,0.54,0,10.67,85,2.47,0,9.33,83,2.56,0,7.93,82,1.58,0
Paris,48.8588897,2.3200410217200766,7.35,88,1.17,0,9.01,88,0.77,0,9.55,65,2.68,0,8.63,74,1.87,0,7.64,68,1.13,0
Amiens,49.8941708,2.2956951,8.94,97,1.38,0,10.88,93,1.52,0,9.71,87,2.26,0,8.82,84,2.33,0,7.12,83,1.73,0
Lille,50.6365654,3.0635282,7.76,92,2.32,0,10.62,92,1.97,0,9.81,87,1.82,0,8.7,83,1.89,0,7.36,77,0.66,0
Strasbourg,48.584614,7.7507127,3.54,84,1.31,0,3.91,74,2.23,0,3.97,72,1.62,0,4.65,83,1.47,0,4.1,83,0.9,0
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,0.46,94,0.94,0,0.6,88,1.03,0,0.34,85,0.64,0,0.81,93,1.09,0,0.78,95,0.81,0
Colmar,48.0777517,7.3579641,2.91,94,1.08,0,3.12,85,1.55,0,2.91,82,1.35,0,3.32,91,1.49,0,3.34,93,0.81,0
Eguisheim,48.0447968,7.3079618,2.54,95,1.08,0,2.82,85,1.62,0,2.59,82,1.57,0,3.02,91,1.53,0,3.13,93,0.74,0
Besancon,47.2380222,6.0243622,3.03,91,1.76,0,3.57,83,3.01,0,3.6,84,1.43,0,3.41,75,0.65,0,3.21,76,0.23,0
Dijon,47.3215806,5.0414701,3.88,84,1.8,0,5.24,85,2.4,0,3.74,72,2.29,0,3.75,72,1.54,0,3.4,74,1.7,0
Annecy,45.8992348,6.1288847,2.25,93,3.11,0,0.85,98,1.26,0,2.19,99,1.09,0,2.44,100,0.96,0,2.82,100,1.08,0
Grenoble,45.1875602,5.7357819,3.26,96,3.4,0,3.21,99,0.58,0,4.18,99,1.22,0,4.14,101,1.29,0,4.28,101,1.4,0
